,Step,progressing_init_count,hold_stage1_count,progressing_stage1_count,hold_stage2_count,progressing_stage2_count,hold_stage21_count,progressing_stage21_count,hold_stage211_count,progressing_stage211_count,hold_stage22_count,progressing_stage22_count,hold_stage23_count,progressing_stage23_count,hold_stage231_count,progressing_stage231_count,hold_stage3_count,progressing_stage3_count,hold_stage31_count,progressing_stage31_count,hold_stage32_count,progressing_stage32_count,hold_stage33_count,progressing_stage33_count,complete_restream_count,complete_training_pathway2_complete_count,complete_training_pathway3_complete_count,left_stage1_count,left_stage2_count,left_stage22_count,left_stage23_count,left_stage33_count,left_stage231_count,left_stage21_count,left_stage31_count,left_stage32_count,progressing_stage1_exit_count,param_init_new_trainees,param_stage1_drop_out_progressing,param_stage1_capacity_progressing,param_stage1_time_progressing,param_stage2_drop_out_progressing,param_stage2_capacity_progressing,param_stage2_time_progressing,left_Stage.INIT_count,left_Stage.STAGE1_count
57,57,11.0,522.0,17.6,2.6,6.2,0.2,1.6,0.0,0.0,1.0,0.6,1.2,0.6,0.0,0.8,1.2,1.2,0.2,0.4,0.2,0.0,0.0,0.6,39.4,31.2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,11,0.1,2,9,0.2,2,6,0,0
58,58,11.0,531.0,17.8,3.6,5.0,0.2,1.8,0.0,0.0,1.4,0.4,0.2,1.8,0.0,0.8,0.8,1.2,0.2,0.2,0.6,0.2,0.6,0.6,39.8,31.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
59,59,11.0,540.0,18.0,2.8,5.6,0.6,1.4,0.0,0.0,0.4,1.8,0.4,1.8,0.0,0.8,1.4,1.2,0.2,0.2,0.6,0.2,0.0,0.6,40.6,31.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
60,60,11.0,549.0,18.0,2.0,6.2,1.0,1.4,0.0,0.0,0.6,2.0,0.4,1.6,0.6,0.8,0.8,1.4,0.2,0.4,1.0,0.6,0.0,0.4,40.6,31.2,8.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
61,61,11.0,558.0,16.8,3.4,4.4,0.0,2.4,0.0,0.0,0.4,2.2,0.0,2.0,0.0,1.2,0.4,2.2,0.2,0.4,1.0,0.6,0.0,0.0,41.2,31.4,8.0,1.4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
62,62,11.0,567.0,15.8,2.2,4.8,0.4,1.4,0.0,0.0,0.6,2.0,0.0,2.0,0.0,1.2,1.0,0.8,0.2,0.2,2.0,0.6,0.4,0.0,42.2,31.4,8.2,1.6,0.8,0.2,0.0,0.0,0.0,0.2,0.0,0.0,1.4,11,0.1,2,9,0.2,2,6,0,0
63,63,11.0,576.0,16.2,1.6,5.8,0.4,1.4,0.0,0.0,0.0,2.2,0.0,2.0,0.0,1.0,0.6,1.0,0.4,0.2,0.2,2.0,0.4,0.4,42.2,31.4,8.2,0.0,0.6,0.4,0.0,0.0,0.2,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
64,64,11.0,585.0,16.4,1.2,6.8,0.0,1.8,0.0,0.0,0.0,1.6,0.0,0.8,1.2,0.6,0.8,1.6,0.0,0.6,0.2,2.0,0.4,0.4,42.2,31.8,8.2,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
65,65,11.0,594.0,17.0,1.0,6.4,0.0,1.6,0.2,0.0,0.4,1.4,0.2,0.8,0.0,1.6,1.2,0.6,0.0,0.6,1.2,2.0,0.0,0.4,42.6,31.8,8.2,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,1.4,11,0.1,2,9,0.2,2,6,0,0
66,66,11.0,603.0,17.0,1.0,5.8,0.0,1.6,0.2,0.0,0.2,1.0,0.6,0.6,0.4,1.6,1.0,1.2,0.0,0.4,0.2,1.2,0.4,0.4,42.6,31.8,8.4,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
67,67,11.0,612.0,17.4,1.0,6.8,0.0,1.6,0.0,0.2,0.0,1.0,0.0,0.8,0.8,1.4,1.6,1.2,0.0,0.4,0.2,1.2,0.0,0.4,42.6,31.8,8.4,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
68,68,11.0,621.0,17.8,1.0,6.8,0.2,1.4,0.0,0.2,0.6,0.8,0.0,0.8,0.0,2.2,0.6,1.6,0.2,0.4,0.8,0.2,0.2,0.4,43.0,31.8,8.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
69,69,11.0,630.0,17.8,2.2,5.2,0.2,1.2,0.0,0.2,1.2,0.4,0.4,0.8,0.0,1.8,1.4,1.6,0.2,0.4,0.8,0.2,0.0,0.2,43.6,32.2,8.4,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
70,70,11.0,639.0,18.0,3.6,4.2,0.4,1.4,0.0,0.0,1.6,0.4,0.2,1.2,0.0,1.8,0.4,1.4,0.2,0.0,1.2,0.8,0.4,0.2,43.6,32.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
71,71,11.0,648.0,18.0,3.0,5.0,0.6,1.4,0.0,0.0,0.6,2.0,0.4,1.2,0.0,1.8,1.0,1.4,0.2,0.0,1.2,0.8,0.0,0.4,43.8,32.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
72,72,11.0,657.0,18.0,2.2,6.0,0.8,1.4,0.0,0.0,0.2,2.6,0.4,1.4,0.2,1.8,0.8,1.0,0.0,0.2,1.4,1.2,0.0,0.4,44.0,32.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
73,73,11.0,666.0,17.2,3.6,3.6,0.4,2.0,0.0,0.0,0.0,1.6,0.4,1.2,0.6,1.0,0.4,1.8,0.0,0.2,1.4,1.0,0.0,0.0,44.2,32.8,8.8,1.0,1.4,0.8,0.0,0.0,0.4,0.2,0.0,0.2,1.8,11,0.1,2,9,0.2,2,6,0,0
74,74,11.0,675.0,16.2,2.8,4.6,0.8,1.2,0.0,0.0,0.2,1.2,0.0,1.6,0.6,1.0,1.2,0.8,0.0,0.2,2.0,1.0,0.4,0.0,44.8,32.8,8.8,1.0,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
75,75,11.0,684.0,15.6,2.0,6.2,0.8,1.2,0.0,0.0,0.0,1.2,0.0,1.4,0.0,1.6,0.6,1.2,0.0,0.0,0.4,2.0,0.4,0.4,44.8,32.8,8.8,0.8,0.4,0.2,0.2,0.0,0.0,0.0,0.2,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
76,76,11.0,693.0,16.2,1.2,6.8,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.8,0.6,1.8,0.0,0.0,0.4,2.0,0.4,0.4,44.8,33.6,8.8,0.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.4,11,0.1,2,9,0.2,2,6,0,0
77,77,11.0,702.0,16.0,1.2,6.8,0.0,1.6,0.0,0.0,0.0,1.0,0.2,1.0,0.0,1.0,1.4,0.6,0.2,0.0,0.6,2.0,0.8,0.4,45.8,33.6,8.8,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
78,78,11.0,711.0,16.2,1.2,6.6,0.4,1.6,0.0,0.0,0.2,0.8,0.4,0.8,0.4,0.8,0.6,1.4,0.4,0.0,0.4,0.6,0.8,0.4,46.0,33.6,8.8,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
79,79,11.0,720.0,16.8,1.2,7.8,0.0,1.8,0.0,0.0,0.0,0.8,0.0,1.0,0.6,0.8,0.8,1.4,0.4,0.0,0.4,0.6,0.0,0.8,46.0,33.6,8.8,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,1.4,11,0.1,2,9,0.2,2,6,0,0
80,80,11.0,729.0,17.0,1.2,8.0,0.0,1.8,0.0,0.0,0.6,0.8,0.0,0.6,0.4,1.4,0.6,0.8,0.0,0.4,1.0,0.4,0.4,0.8,46.4,33.6,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
81,81,11.0,738.0,17.4,2.2,6.2,0.2,1.8,0.0,0.0,1.4,0.2,0.4,0.6,0.0,1.6,1.2,0.8,0.0,0.4,1.0,0.4,0.0,0.4,46.8,33.8,8.8,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
82,82,11.0,747.0,17.6,3.0,4.8,0.6,2.0,0.0,0.0,1.8,0.2,0.0,1.0,0.0,1.6,1.0,1.2,0.2,0.4,0.4,1.0,0.2,0.4,47.2,33.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
83,83,11.0,756.0,17.8,1.8,5.4,1.2,1.8,0.2,0.0,0.0,1.8,0.4,1.0,0.0,1.2,2.0,1.2,0.2,0.4,0.4,1.0,0.0,0.2,47.4,34.2,8.8,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
84,84,11.0,765.0,18.0,2.0,6.0,1.6,1.8,0.2,0.0,0.2,1.8,0.2,1.2,0.2,1.2,0.0,2.0,0.0,0.6,0.8,0.4,0.4,0.2,47.6,34.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
85,85,11.0,774.0,17.2,3.0,3.6,0.2,3.4,0.0,0.2,0.8,1.8,0.2,1.0,0.4,1.2,0.8,2.0,0.0,0.6,0.8,0.4,0.0,0.4,47.6,34.4,8.8,1.0,1.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
86,86,11.0,783.0,16.6,2.0,3.0,0.2,2.8,0.0,0.2,1.0,1.2,0.2,1.2,0.4,1.2,1.2,0.0,0.4,0.0,2.2,0.4,0.2,0.4,48.8,34.4,9.2,1.2,1.6,0.6,0.0,0.0,0.0,0.0,0.2,0.0,1.4,11,0.1,2,9,0.2,2,6,0,0
87,87,11.0,792.0,16.6,1.2,4.4,0.2,2.8,0.0,0.2,0.0,1.8,0.0,1.2,0.0,1.6,0.6,1.2,0.4,0.0,0.0,2.2,0.0,0.2,48.8,34.4,9.2,0.4,0.4,0.4,0.2,0.2,0.0,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
88,88,11.0,801.0,16.4,1.2,5.0,0.0,3.0,0.0,0.0,0.0,1.6,0.0,0.6,0.4,0.8,0.6,1.8,0.0,0.4,0.0,2.2,0.0,0.0,48.8,35.0,9.2,0.4,0.6,0.2,0.2,0.2,0.2,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
89,89,11.0,810.0,16.6,1.6,5.4,0.0,2.4,0.0,0.0,0.0,1.2,0.2,0.6,0.0,1.0,0.8,0.6,0.4,0.4,0.4,2.2,0.4,0.0,49.8,35.2,9.2,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
90,90,11.0,819.0,16.8,1.4,6.6,0.0,2.4,0.0,0.0,0.2,1.0,0.2,0.4,0.2,0.8,0.4,0.8,0.6,0.4,0.4,0.4,0.4,0.0,49.8,35.2,9.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
91,91,11.0,828.0,17.2,1.2,8.0,0.0,2.4,0.0,0.0,0.0,1.2,0.0,0.6,0.2,0.8,0.8,0.8,0.6,0.4,0.4,0.4,0.0,0.4,49.8,35.2,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
92,92,11.0,837.0,17.8,0.8,8.0,0.0,1.8,0.0,0.0,0.2,0.4,0.6,0.4,0.2,1.0,0.6,0.8,0.0,1.0,0.4,0.4,0.4,0.4,50.6,35.2,9.2,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,1.4,11,0.1,2,9,0.2,2,6,0,0
93,93,11.0,846.0,17.8,2.0,6.4,0.4,1.8,0.0,0.0,0.8,0.2,0.8,0.4,0.0,1.0,1.4,0.8,0.0,1.0,0.4,0.4,0.0,0.4,51.0,35.4,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
94,94,11.0,855.0,17.8,3.2,5.4,0.0,2.2,0.0,0.0,1.4,0.2,0.0,1.2,0.0,1.0,0.8,1.4,0.0,0.4,0.4,0.4,0.4,0.4,51.4,35.4,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
95,95,11.0,864.0,18.0,2.4,6.2,0.0,1.6,0.2,0.0,0.4,1.6,0.0,1.2,0.0,0.6,1.4,1.4,0.0,0.4,0.4,0.4,0.0,0.4,52.2,35.8,9.6,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
96,96,11.0,873.0,18.0,1.8,6.4,0.2,1.6,0.2,0.0,0.2,1.4,0.4,1.0,0.2,0.6,0.8,1.4,0.6,0.4,0.6,0.4,0.2,0.4,53.0,35.8,9.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
97,97,11.0,882.0,16.4,2.2,4.0,0.0,1.8,0.0,0.2,0.4,1.2,0.2,1.2,0.2,0.6,0.8,2.2,0.6,0.4,0.6,0.4,0.0,0.2,53.2,36.0,9.6,2.4,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,11,0.1,2,9,0.2,2,6,0,0
98,98,11.0,891.0,16.0,1.8,4.4,0.4,0.6,0.2,0.2,0.4,0.8,0.2,1.4,0.2,0.6,1.4,0.8,1.2,0.0,1.2,0.4,0.2,0.2,54.4,36.0,10.0,0.6,0.2,0.4,0.0,0.0,0.0,0.2,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
99,99,11.0,900.0,16.6,0.8,5.2,0.4,0.4,0.2,0.2,0.0,1.2,0.0,1.4,0.0,0.6,0.8,1.4,1.2,0.0,0.6,1.2,0.2,0.2,54.4,36.0,10.0,0.0,0.8,0.0,0.2,0.0,0.2,0.2,0.0,0.0,1.4,11,0.1,2,9,0.2,2,6,0,0
100,100,11.0,909.0,16.6,1.6,5.6,0.0,0.8,0.0,0.2,0.0,1.0,0.0,0.6,0.8,0.4,0.4,2.2,0.0,1.2,0.6,1.0,0.2,0.2,54.4,36.2,10.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.2,2.0,11,0.1,2,9,0.2,2,6,0,0
101,101,11.0,918.0,17.0,1.4,5.8,0.4,0.8,0.0,0.2,0.2,0.8,0.0,0.6,0.0,1.2,0.6,0.8,0.0,1.0,1.4,1.0,0.6,0.2,54.6,36.2,10.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.2,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
102,102,11.0,927.0,17.0,1.2,6.0,0.8,0.8,0.0,0.2,0.2,1.0,0.0,0.6,0.0,1.2,0.8,0.6,0.2,1.0,0.6,1.4,0.6,0.2,55.0,36.2,10.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
103,103,11.0,936.0,17.4,1.2,7.0,0.0,1.6,0.0,0.0,0.0,1.2,0.0,0.4,0.2,1.2,1.2,0.6,0.2,0.6,0.6,1.2,0.0,0.6,55.0,36.2,10.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.2,1.6,11,0.1,2,9,0.2,2,6,0,0
104,104,11.0,945.0,17.8,1.2,7.2,0.4,1.6,0.0,0.0,0.2,1.0,0.4,0.2,0.2,1.4,0.4,1.2,0.0,0.8,0.4,0.6,0.2,0.4,55.0,36.2,10.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
105,105,11.0,954.0,18.0,2.2,6.0,0.8,1.6,0.0,0.0,0.8,0.6,0.4,0.0,0.2,1.2,1.2,1.2,0.0,0.8,0.4,0.4,0.0,0.2,55.2,36.4,10.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.2,1.8,11,0.1,2,9,0.2,2,6,0,0
106,106,11.0,963.0,18.0,3.6,5.4,0.0,2.2,0.0,0.0,1.2,0.4,0.0,0.4,0.0,1.2,0.6,1.2,0.0,0.2,0.8,0.4,0.4,0.2,55.4,36.4,10.6,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
107,107,11.0,972.0,18.0,2.8,5.8,0.4,2.0,0.0,0.0,0.2,1.2,0.4,0.2,0.0,1.2,1.4,1.2,0.0,0.2,0.8,0.4,0.0,0.4,56.2,36.4,10.6,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
108,108,11.0,981.0,18.0,2.0,6.4,0.8,2.0,0.0,0.0,0.4,1.0,0.2,0.6,0.0,1.0,0.8,1.4,0.0,0.2,0.8,0.8,0.4,0.4,56.6,36.4,10.6,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
109,109,11.0,990.0,16.4,3.8,3.8,0.4,2.6,0.0,0.0,0.2,1.4,0.0,0.8,0.0,0.4,0.2,2.2,0.0,0.2,0.8,0.6,0.0,0.4,57.0,37.0,10.6,1.6,1.6,0.0,0.0,0.0,0.0,0.2,0.0,0.2,2.0,11,0.1,2,9,0.2,2,6,0,0
110,110,11.0,999.0,16.2,2.8,4.2,0.6,2.4,0.2,0.0,0.4,1.0,0.0,0.8,0.0,0.4,0.6,0.8,0.2,0.0,1.8,0.6,0.2,0.4,57.0,37.0,10.8,0.8,1.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,11,0.1,2,9,0.2,2,6,0,0
111,111,11.0,1008.0,16.4,2.0,5.2,0.6,2.4,0.2,0.0,0.0,1.0,0.0,0.8,0.0,0.4,0.4,0.6,0.2,0.0,0.6,1.8,0.2,0.2,57.0,37.0,10.8,0.4,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,11,0.1,2,9,0.2,2,6,0,0
112,112,11.0,1017.0,16.8,1.4,6.6,0.0,3.0,0.0,0.2,0.0,1.0,0.0,0.4,0.2,0.2,0.6,1.0,0.0,0.2,0.6,1.8,0.2,0.2,57.0,37.2,10.8,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
113,113,11.0,1026.0,17.0,1.0,7.4,0.2,2.6,0.2,0.2,0.2,1.0,0.0,0.4,0.0,0.2,1.2,0.4,0.0,0.2,1.0,1.6,0.2,0.2,57.2,37.4,10.8,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,11,0.1,2,9,0.2,2,6,0,0
114,114,11.0,1035.0,17.0,1.6,7.2,0.4,2.4,0.2,0.2,0.2,1.2,0.4,0.2,0.2,0.2,0.4,1.2,0.0,0.2,0.2,1.0,0.4,0.2,57.6,37.4,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
115,115,11.0,1044.0,17.0,1.4,8.8,0.0,2.8,0.0,0.2,0.0,1.0,0.0,0.4,0.4,0.2,1.0,1.2,0.0,0.2,0.2,1.0,0.0,0.4,57.6,37.4,10.8,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
116,116,11.0,1053.0,17.4,1.0,8.8,0.0,2.2,0.0,0.2,0.2,0.6,0.6,0.4,0.0,0.6,0.6,1.0,0.2,0.2,1.0,0.2,0.0,0.4,58.8,37.4,10.8,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,1.6,11,0.1,2,9,0.2,2,6,0,0
117,117,11.0,1062.0,17.4,2.0,7.0,0.4,2.2,0.0,0.2,0.8,0.4,0.8,0.4,0.0,0.6,1.6,1.0,0.2,0.2,1.0,0.2,0.0,0.0,59.4,37.4,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
118,118,11.0,1071.0,17.8,2.8,5.4,0.2,2.4,0.0,0.0,1.4,0.4,0.4,1.2,0.0,0.6,0.8,1.6,0.2,0.0,0.6,1.0,0.4,0.0,59.8,37.4,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
119,119,11.0,1080.0,17.8,2.0,6.0,0.2,2.0,0.0,0.0,0.6,1.6,1.0,1.2,0.0,0.6,1.6,1.6,0.2,0.0,0.6,1.0,0.0,0.4,60.4,37.4,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
120,120,11.0,1089.0,18.0,1.4,6.8,0.2,2.0,0.0,0.0,0.2,2.0,0.6,2.2,0.0,0.6,0.6,1.6,0.2,0.2,1.2,0.6,0.2,0.2,60.6,37.4,11.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
